client_id,sex,birth,age,s_idclient
c_4410,f,1967.0,55.0,c
c_7839,f,1975.0,47.0,c
c_1699,f,1984.0,38.0,c
c_5961,f,1962.0,60.0,c
c_5320,m,1943.0,79.0,c
c_415,m,1993.0,29.0,c
c_285,f,1967.0,55.0,c
c_160,f,1978.0,44.0,c
c_6446,m,1971.0,51.0,c
c_6866,m,1993.0,29.0,c
c_1013,m,1982.0,40.0,c
c_4389,m,1984.0,38.0,c
c_1375,m,1945.0,77.0,c
c_2998,m,2003.0,19.0,c
c_2322,f,1967.0,55.0,c
c_4701,f,1971.0,51.0,c
c_8203,f,1959.0,63.0,c
c_5019,f,1977.0,45.0,c
c_6616,f,1954.0,68.0,c
c_7049,f,1987.0,35.0,c
c_4710,m,1967.0,55.0,c
c_7900,f,2000.0,22.0,c
c_6245,m,1945.0,77.0,c
c_4279,m,1992.0,30.0,c
c_3692,f,1963.0,59.0,c
c_1361,f,1982.0,40.0,c
c_2487,f,1958.0,64.0,c
c_6884,m,1994.0,28.0,c
c_1466,f,1936.0,86.0,c
c_3213,m,2003.0,19.0,c
c_5152,f,1986.0,36.0,c
c_539,m,1942.0,80.0,c
c_4799,f,1970.0,52.0,c
c_1685,m,1977.0,45.0,c
c_3001,f,1967.0,55.0,c
c_7548,m,1957.0,65.0,c
c_3654,f,1978.0,44.0,c
c_459,m,1957.0,65.0,c
c_3991,f,1982.0,40.0,c
c_3477,f,1968.0,54.0,c
c_5361,f,1968.0,54.0,c
c_125,m,2002.0,20.0,c
c_4313,m,1967.0,55.0,c
c_1046,m,2004.0,18.0,c
c_5633,f,1986.0,36.0,c
c_169,f,1979.0,43.0,c
c_1303,m,1987.0,35.0,c
c_329,f,1967.0,55.0,c
c_3473,m,1974.0,48.0,c
c_3424,m,2003.0,19.0,c
c_2098,f,1964.0,58.0,c
c_8413,f,2003.0,19.0,c
c_4223,f,1951.0,71.0,c
c_1136,f,1937.0,85.0,c
c_5110,f,1982.0,40.0,c
c_3023,m,1970.0,52.0,c
c_7675,m,1968.0,54.0,c
c_6071,f,1981.0,41.0,c
c_344,m,1965.0,57.0,c
c_7384,m,1968.0,54.0,c
c_3512,f,1981.0,41.0,c
c_6699,f,1986.0,36.0,c
c_2167,f,1960.0,62.0,c
c_2253,m,1967.0,55.0,c
c_5139,f,2000.0,22.0,c
c_5138,m,1996.0,26.0,c
c_7255,m,1983.0,39.0,c
c_4575,m,1993.0,29.0,c
c_6673,m,1990.0,32.0,c
c_3060,m,1971.0,51.0,c
c_3662,m,1968.0,54.0,c
c_3081,m,2004.0,18.0,c
c_7391,m,1955.0,67.0,c
c_3710,f,1983.0,39.0,c
c_5422,f,1988.0,34.0,c
c_651,m,1964.0,58.0,c
c_3598,f,1991.0,31.0,c
c_939,m,1972.0,50.0,c
c_1783,m,1980.0,42.0,c
c_5050,f,1989.0,33.0,c
c_5445,m,1962.0,60.0,c
c_6809,m,1986.0,36.0,c
c_8349,m,1954.0,68.0,c
c_3196,f,1958.0,64.0,c
c_4505,m,1976.0,46.0,c
c_181,f,1942.0,80.0,c
c_7921,f,1982.0,40.0,c
c_7946,f,1987.0,35.0,c
c_6312,f,1967.0,55.0,c
c_1615,m,1990.0,32.0,c
c_4767,m,1979.0,43.0,c
c_4398,f,1978.0,44.0,c
c_3468,f,1981.0,41.0,c
c_6208,f,1982.0,40.0,c
c_997,f,1994.0,28.0,c
c_1418,f,2004.0,18.0,c
c_1953,m,1964.0,58.0,c
c_3824,m,1958.0,64.0,c
c_1821,m,2003.0,19.0,c
c_7249,f,1993.0,29.0,c
c_198,f,1989.0,33.0,c
c_3338,m,2004.0,18.0,c
c_420,f,1987.0,35.0,c
c_3550,f,1985.0,37.0,c
c_4020,m,1953.0,69.0,c
c_4662,f,1960.0,62.0,c
c_1774,f,2004.0,18.0,c
c_3939,m,1955.0,67.0,c
c_8278,f,1984.0,38.0,c
c_8357,m,2004.0,18.0,c
c_4134,f,1962.0,60.0,c
c_5113,m,1951.0,71.0,c
c_6829,m,1982.0,40.0,c
c_6881,m,1980.0,42.0,c
c_4271,f,1968.0,54.0,c
c_5758,m,1978.0,44.0,c
c_2384,m,1998.0,24.0,c
c_6276,m,2004.0,18.0,c
c_3170,f,1970.0,52.0,c
c_1934,f,2004.0,18.0,c
c_2123,f,1998.0,24.0,c
c_6994,m,1968.0,54.0,c
c_8083,m,1956.0,66.0,c
c_5544,f,1948.0,74.0,c
c_6822,f,1971.0,51.0,c
c_7222,f,1996.0,26.0,c
c_7758,m,1970.0,52.0,c
c_3247,f,1973.0,49.0,c
c_1721,f,1969.0,53.0,c
c_2666,m,1972.0,50.0,c
c_2124,f,1938.0,84.0,c
c_1199,f,1990.0,32.0,c
c_4472,m,1973.0,49.0,c
c_4430,m,1986.0,36.0,c
c_4882,m,1979.0,43.0,c
c_2611,f,1987.0,35.0,c
c_2005,f,1989.0,33.0,c
c_3366,f,1938.0,84.0,c
c_7944,m,1995.0,27.0,c
c_1044,m,1956.0,66.0,c
c_488,f,1985.0,37.0,c
c_7857,f,1992.0,30.0,c
c_4683,f,2000.0,22.0,c
c_7718,f,1994.0,28.0,c
c_5059,f,2004.0,18.0,c
c_6845,m,2002.0,20.0,c
c_2311,m,1952.0,70.0,c
c_7200,m,1967.0,55.0,c
c_5214,m,1971.0,51.0,c
c_4207,m,1962.0,60.0,c
c_6468,m,1942.0,80.0,c
c_2510,f,1969.0,53.0,c
c_1499,m,1988.0,34.0,c
c_7441,f,1953.0,69.0,c
c_2402,f,1949.0,73.0,c
c_6105,f,1969.0,53.0,c
c_4978,f,1986.0,36.0,c
c_1239,m,1985.0,37.0,c
c_6060,m,1988.0,34.0,c
c_1958,f,1983.0,39.0,c
c_3167,f,1965.0,57.0,c
c_6917,f,1984.0,38.0,c
c_6534,f,1999.0,23.0,c
c_8564,f,1976.0,46.0,c
c_2120,m,2001.0,21.0,c
c_7890,f,1999.0,23.0,c
c_4755,f,1983.0,39.0,c
c_1836,m,1953.0,69.0,c
c_6889,f,1968.0,54.0,c
c_3572,f,1949.0,73.0,c
c_5080,f,1994.0,28.0,c
c_5146,f,1962.0,60.0,c
c_1320,f,1992.0,30.0,c
c_712,f,1967.0,55.0,c
c_8395,m,1993.0,29.0,c
c_1381,f,1982.0,40.0,c
c_858,f,1956.0,66.0,c
c_7193,f,1982.0,40.0,c
c_1859,m,2003.0,19.0,c
c_8384,m,1939.0,83.0,c
c_3568,f,1974.0,48.0,c
c_1033,f,2000.0,22.0,c
c_3041,f,1996.0,26.0,c
c_178,f,1950.0,72.0,c
c_3746,f,1952.0,70.0,c
c_3601,m,1953.0,69.0,c
c_6754,f,1968.0,54.0,c
c_1561,f,2004.0,18.0,c
c_4087,m,1973.0,49.0,c
c_5898,m,1991.0,31.0,c
c_7755,m,1990.0,32.0,c
c_6950,f,1989.0,33.0,c
c_7680,m,1987.0,35.0,c
c_7046,m,1996.0,26.0,c
c_3413,m,1993.0,29.0,c
c_626,f,1990.0,32.0,c
c_5810,m,1966.0,56.0,c
c_4325,f,1973.0,49.0,c
c_1403,f,1978.0,44.0,c
c_2276,f,1978.0,44.0,c
c_1531,m,1985.0,37.0,c
c_4694,f,1965.0,57.0,c
c_4512,m,2003.0,19.0,c
c_7075,m,1988.0,34.0,c
c_2696,f,1978.0,44.0,c
c_6179,m,1974.0,48.0,c
c_2714,f,1995.0,27.0,c
c_1216,m,1953.0,69.0,c
c_8506,f,2001.0,21.0,c
c_7866,m,1989.0,33.0,c
c_2809,m,1981.0,41.0,c
c_955,f,1935.0,87.0,c
c_424,f,1956.0,66.0,c
